Ticker,Short Name,Price,Pe Ratio,Peg Ratio,Eps Ttm,Total Revenue,Growth,3-4 Year Sales Growth,Cagr,Ebit,Enterprise Value,Invested Capital,Roic,Dividendyield,Dividend Yield%,Earnings Growth,Roe,Roa,Debt To Equity,Pb Ratio,Free Cash Flow,Market Cap,Rev Growth,Sector
COR,"Cencora, Inc.",285.13,29.27,0.77,9.74,316654387200.0,38.06,37.37,9.21,2935272000.0,63425523712.0,10220679000.0,0.29,0.79,0.01,0.42,1.17,0.03,4.59,27.91,1288606848.0,55280435200.0,0.09,Healthcare
SU.TO,SUNCOR ENERGY INC.,53.94,11.8,,4.57,49733001216.0,0.0,40.25,9.84,8177000000.0,77065281536.0,54522000000.0,0.15,4.25,0.04,-0.28,0.13,0.06,0.32,1.47,7225874944.0,65442705408.0,-0.07,Energy
LONN.SW,LONZA N,544.6,52.42,1.25,10.39,7093000192.0,41.77,21.54,5.56,,42284171264.0,14038000000.0,,0.73,0.01,0.3,0.08,0.04,0.53,4.43,10250000.0,38201290752.0,0.17,Healthcare
SRE,DBA Sempra,81.71,17.96,2.18,4.55,13347000320.0,8.22,2.55,0.7,3271000000.0,96700628992.0,69398000000.0,0.05,3.18,0.0,0.13,0.1,0.02,1.0,1.75,-5204125184.0,53288808448.0,0.04,Utilities
9433.T,KDDI CORPORATION,2579.0,15.24,2.04,169.18,5965142818816.0,7.47,8.65,2.33,418044000000.0,14863402270720.0,9161043000000.0,0.05,3.1,0.03,-0.03,,,0.9,1.99,,9855468306432.0,0.03,Communication Services
BDX,"Becton, Dickinson and Company",193.5,35.44,0.94,5.46,21386000384.0,37.74,5.47,1.49,2499000000.0,72480063488.0,44814000000.0,0.06,2.22,0.02,0.18,0.06,0.03,0.76,2.18,3038625024.0,55458455552.0,0.1,Healthcare
IDXX,"IDEXX Laboratories, Inc.",658.06,54.7,4.86,12.03,4037714944.0,11.25,21.22,5.49,1261914000.0,53720567808.0,2562633000.0,0.49,,0.0,0.45,0.65,0.23,0.85,36.16,625739008.0,52647895040.0,0.11,Healthcare
CARR,Carrier Global Corporation,66.03,38.17,18.37,1.73,22463000576.0,2.08,9.09,2.44,3299000000.0,66871873536.0,26149000000.0,0.13,1.36,0.01,-0.75,0.11,0.03,0.79,3.82,2310249984.0,56193044480.0,0.03,Industrials
NWG.L,NATWEST GROUP PLC ORD 107.69P,522.8,8.86,,0.59,14860999680.0,0.0,41.71,10.16,,-70082936832.0,111921000000.0,,4.85,0.0,0.07,0.13,0.01,0.0,117.69,,43095396352.0,0.03,Financial Services
FDX,FedEx Corporation,228.05,13.57,0.98,16.8,87925997568.0,13.91,-5.97,-1.7,6230000000.0,,48653000000.0,0.13,2.58,0.02,-0.11,0.15,0.05,0.0,1.93,3494500096.0,53796769792.0,0.14,Industrials
ALNY,"Alnylam Pharmaceuticals, Inc.",438.93,,,-2.48,2461963008.0,0.0,166.29,31.24,-227336000.0,57416663040.0,1277113000.0,-0.18,,0.0,,-2.58,-0.03,10.93,229.45,85713376.0,57534504960.0,0.17,Healthcare
LHX,"L3Harris Technologies, Inc.",269.72,30.14,0.59,8.95,21372999680.0,51.2,19.71,5.12,2529000000.0,62083207168.0,31380000000.0,0.08,1.75,0.02,0.25,0.09,0.04,0.63,2.62,2885874944.0,50463264768.0,0.02,Industrials
INVE-B.ST,Investor AB ser. B,287.95,37.74,,7.63,85168996352.0,0.0,-36.21,-11.73,,951407411200.0,950170000000.0,,1.81,0.02,-0.3,0.03,0.02,0.13,1.05,21207250944.0,882699206656.0,-0.24,Financial Services
RSG,"Republic Services, Inc.",235.21,34.79,3.66,6.76,16366000128.0,9.51,41.94,10.21,3120600000.0,86532284416.0,25017000000.0,0.12,1.06,0.01,0.07,0.18,0.06,1.1,6.09,1870850048.0,73436323840.0,0.05,Industrials
PCAR,PACCAR Inc.,97.34,16.7,2.86,5.83,31099600896.0,5.83,43.11,10.46,3852600000.0,58908766208.0,34881200000.0,0.11,1.36,0.01,-0.36,0.17,0.06,0.85,2.7,204050000.0,51113525248.0,-0.14,Industrials
AME,"AMETEK, Inc.",182.08,29.32,2.87,6.21,6980192768.0,10.2,25.14,6.42,1822559000.0,43631083520.0,12330670000.0,0.15,0.68,0.01,0.06,0.15,0.08,0.21,4.05,1420693376.0,42052104192.0,0.02,Industrials
O39.SI,OCBC Bank,16.79,10.43,4.12,1.61,13717000192.0,2.53,37.64,9.27,,31054839808.0,90706000000.0,,4.8,0.05,-0.05,0.13,0.01,0.0,1.3,,75468365824.0,-0.01,Financial Services
O,Realty Income Corporation,57.44,55.77,,1.03,5477163008.0,0.0,153.36,29.44,2055621000.0,80278339584.0,67505137000.0,0.03,5.65,0.06,-0.24,0.02,0.02,0.72,1.34,,52516528128.0,0.05,Real Estate
CBRE,CBRE Group Inc,155.4,43.53,1.1,3.57,38103998464.0,39.43,28.91,7.3,1464000000.0,54621274112.0,15458000000.0,0.09,,0.0,0.65,0.13,0.04,1.08,5.52,640875008.0,46239887360.0,0.16,Real Estate
ADYEN,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,
WDAY,"Workday, Inc.",222.07,124.06,0.97,1.79,8696000512.0,127.89,64.35,14.79,732000000.0,54715691008.0,11904000000.0,0.06,,0.0,-0.36,0.06,0.02,0.38,6.65,2373750016.0,59202973696.0,0.13,Technology
RKT.L,RECKITT BENCKISER GROUP PLC ORD,5434.0,29.53,4.46,1.84,13982999552.0,6.63,7.07,1.91,,45600825344.0,15057000000.0,,3.77,0.0,-0.16,0.17,0.08,1.48,584.74,1693750016.0,37313814528.0,-0.03,Consumer Defensive
AMP,"Ameriprise Financial, Inc.",504.96,15.73,1.96,32.1,18179999744.0,8.04,29.06,7.34,4361000000.0,42932371456.0,12084000000.0,0.36,1.28,0.01,0.28,0.58,0.02,0.58,7.84,4572125184.0,47603384320.0,0.02,Financial Services
WCN,"Waste Connections, Inc.",187.89,75.76,,2.48,9234002944.0,0.0,45.0,10.87,1150109000.0,56987824128.0,16699594000.0,0.07,0.67,0.01,0.05,0.08,0.04,1.04,5.81,863770240.0,48421695488.0,0.07,Industrials
TRP.TO,TC ENERGY CORP.,67.97,16.62,,4.09,14302000128.0,0.0,2.87,0.79,8183000000.0,138027008000.0,84448000000.0,0.1,4.98,0.05,-0.13,0.13,0.03,1.59,2.83,-2038875008.0,70663651328.0,0.12,Energy
NDA FI,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,
PSX,Phillips 66,119.13,28.3,1.0,4.21,132965998592.0,28.35,28.42,7.19,3145000000.0,69162319872.0,48426000000.0,0.06,4.02,0.04,-0.14,0.06,0.01,0.73,1.75,-119125000.0,48143290368.0,-0.13,Energy
EW,Edwards Lifesciences Corporatio,78.35,32.78,4.67,2.39,5685100032.0,7.02,3.96,1.08,1676200000.0,42454302720.0,11143300000.0,0.15,,0.0,-0.09,0.16,0.08,0.07,4.37,1261549952.0,45999288320.0,0.12,Healthcare
ALC.SW,ALCON N,69.1,38.18,2.33,1.81,9925000192.0,16.38,19.54,5.08,1531000000.0,37852676096.0,26696000000.0,0.06,0.41,0.0,0.41,0.05,0.03,0.24,1.56,1181124992.0,34177964032.0,0.01,Healthcare
GMG.AX,GOOD GROUP STAPLED [GMG],35.41,75.34,,0.47,2901100032.0,0.0,3.57,0.98,,72104329216.0,21224600000.0,,0.85,0.01,,0.05,0.03,0.31,3.58,-828200000.0,71923015680.0,7.24,Real Estate
DHL,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,
EXPN.L,EXPERIAN PLC ORD USD0.10,3804.0,40.04,2.16,0.95,7522999808.0,18.56,19.64,5.1,,39517245440.0,9934000000.0,,1.23,0.0,-0.02,0.24,0.1,1.01,687.76,1372249984.0,34783625216.0,0.06,Industrials
AIG,"American International Group, I",78.13,19.06,,4.1,27426000896.0,0.0,-47.54,-16.4,5112000000.0,41096175616.0,50759000000.0,0.1,2.35,0.02,,0.08,0.02,0.22,1.05,,43737174016.0,0.08,Financial Services
CCI,Crown Castle Inc.,104.5,,2.8,-9.0,6467999744.0,0.0,3.6,0.99,-2974000000.0,74978623488.0,22908000000.0,-0.13,4.0,0.05,0.16,-1.83,0.04,0.0,-32.89,1330499968.0,45506617344.0,-0.04,Real Estate
DHI,"D.R. Horton, Inc.",156.5,12.59,1.65,12.43,34575200256.0,7.63,32.5,8.13,4892500000.0,52212834304.0,31301600000.0,0.16,1.04,0.01,-0.24,0.16,0.09,0.3,1.95,1801437440.0,46656405504.0,-0.07,Consumer Cyclical
FERG,Ferguson Enterprises Inc.,223.55,27.94,1.62,8.0,30211000320.0,17.27,30.02,7.56,2497000000.0,49389821952.0,9635000000.0,0.26,1.48,0.01,-0.07,0.29,0.1,1.05,7.98,1054875008.0,44863356928.0,0.04,Industrials
TGT,Target Corporation,105.4,11.58,2.52,9.1,105881001984.0,4.59,0.53,0.15,5845000000.0,64466165760.0,30420000000.0,0.19,4.26,0.04,0.1,0.29,0.07,1.3,3.2,2960250112.0,47890178048.0,-0.03,Consumer Defensive
OKE,"ONEOK, Inc.",74.46,14.51,1.3,5.13,27953000448.0,11.19,31.19,7.83,5894000000.0,79335628800.0,54297000000.0,0.11,5.46,0.05,0.08,0.17,0.06,1.48,2.15,1448999936.0,46891634688.0,0.61,Energy
EBAY,eBay Inc.,93.14,20.7,2.16,4.5,10469999616.0,9.59,-1.31,-0.37,2776000000.0,45922140160.0,11497000000.0,0.24,1.25,0.01,0.64,0.43,0.07,1.51,9.0,1514125056.0,42564980736.0,0.06,Consumer Cyclical
ROST,"Ross Stores, Inc.",145.22,22.94,2.86,6.33,21256122368.0,8.02,11.7,3.12,2819548000.0,48729436160.0,7091787000.0,0.4,1.12,0.01,-0.02,0.4,0.11,0.9,8.53,1145347072.0,47497252864.0,0.03,Consumer Cyclical
7267.T,HONDA MOTOR CO,1606.5,11.16,,143.94,21624176771072.0,0.0,49.04,11.71,1107093000000.0,14529406697472.0,11796836000000.0,0.09,4.36,0.04,-0.5,0.05,0.02,0.98,0.56,593408753664.0,6413710000128.0,-0.01,Consumer Cyclical
SLB,Schlumberger N.V.,32.87,11.26,4.54,2.92,35477999616.0,2.48,58.27,13.59,5798000000.0,55511449600.0,34000000000.0,0.17,3.48,0.03,-0.09,0.19,0.08,0.64,2.19,3010500096.0,49031192576.0,-0.06,Energy
SGO,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,
ARGX,argenx SE,661.83,33.72,,19.63,3120820992.0,0.0,340.44,50.92,667434000.0,37240107008.0,6095752000.0,0.11,,0.0,7.44,0.25,0.05,0.01,6.64,257751504.0,40635371520.0,0.98,Healthcare
MBG,SPDR Bloomberg Barclays Mortgag,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,
PEG,Public Service Enterprise Group,87.68,22.14,2.68,3.96,11134000128.0,8.25,5.84,1.59,3009000000.0,67006312448.0,39960000000.0,0.08,2.88,0.03,0.35,0.12,0.03,1.41,2.62,-965750016.0,43759333376.0,0.16,Utilities
VEEV,Veeva Systems Inc.,282.13,60.03,1.51,4.7,2855316992.0,39.7,48.4,11.58,769995000.0,40112320512.0,6211098000.0,0.12,,0.0,0.41,0.14,0.07,0.01,7.4,1047263872.0,46103429120.0,0.17,Healthcare
XEL,Xcel Energy Inc.,73.33,20.31,2.92,3.61,13957000192.0,6.96,0.07,0.02,2898000000.0,75291279360.0,53131000000.0,0.05,3.11,0.03,0.47,0.11,0.02,1.59,2.07,-4188499968.0,43369267200.0,0.09,Utilities
GLE,Global Engine Group Holding Lim,1.0,,,0.0,46009880.0,0.0,93.12,20.05,,-8723430.0,14154091.0,,,0.0,,0.02,0.01,0.0,0.27,-16786354.0,22845946.0,-0.15,Technology
7741.T,HOYA CORP,19370.0,33.33,3.37,581.1,876092981248.0,9.89,32.15,8.05,122701000000.0,6141844127744.0,1011306000000.0,0.12,0.83,0.01,0.1,0.21,0.13,0.04,6.8,,6639222521856.0,0.03,Healthcare
VLO,Valero Energy Corporation,133.29,53.75,6.12,2.48,117548998656.0,8.78,13.95,3.69,1391000000.0,50385772544.0,34725000000.0,0.04,3.41,0.03,-0.19,0.03,0.02,0.4,1.72,2656250112.0,41406803968.0,-0.15,Energy
6503.T,MITSUBISHI ELECTRIC CORP,3614.0,23.19,2.23,155.83,5548123095040.0,10.38,23.34,6.0,217524000000.0,7167164809216.0,3949678000000.0,0.06,1.52,0.01,,,,0.09,1.9,,7464392065024.0,,Industrials
4502.T,TAKEDA PHARMACEUTICAL CO LTD,4265.0,49.75,0.42,85.73,4480245956608.0,119.16,28.37,7.18,373888000000.0,11353924304896.0,11371201000000.0,0.03,4.73,0.05,0.3,0.02,0.02,0.73,0.97,718927233024.0,6734904033280.0,-0.08,Healthcare
WPM.TO,WHEATON PRECIOUS METALS CORP,138.56,72.93,,1.9,1458243968.0,0.0,6.9,1.87,777396000.0,61184212992.0,7466142000.0,0.1,0.66,0.0,0.55,0.09,0.06,0.0,8.66,601664512.0,62883516416.0,0.58,Basic Materials
KDP,Keurig Dr Pepper Inc.,34.42,30.46,1.04,1.13,15758999552.0,29.29,21.04,5.44,2707000000.0,64216956928.0,40881000000.0,0.07,2.71,0.03,0.06,0.06,0.04,0.75,1.87,1366499968.0,46757498880.0,0.06,Consumer Defensive
PAYX,"Paychex, Inc.",141.19,30.83,2.49,4.58,5571700224.0,12.38,20.82,5.39,2281300000.0,54244532224.0,9094800000.0,0.25,3.07,0.03,-0.22,0.42,0.11,1.22,12.33,1509437440.0,50862850048.0,0.1,Technology
VOLV-B.ST,"Volvo, AB ser. B",288.9,15.42,,18.73,500077002752.0,0.0,41.54,10.12,52544000000.0,786795200512.0,429505000000.0,0.12,2.81,0.03,-0.52,0.22,0.05,1.59,3.58,44985376768.0,587509923840.0,-0.12,Industrials
KR,Kroger Company (The),74.24,20.23,1.75,3.67,146972000256.0,11.53,6.7,1.82,3781000000.0,74375520256.0,24851000000.0,0.15,1.9,0.02,-0.88,0.24,0.06,2.29,6.02,2607624960.0,49084219392.0,-0.01,Consumer Defensive
DSV.CO,DSV A/S,1487.0,33.47,1.49,44.43,191271993344.0,22.53,-8.34,-2.39,16361000000.0,444275654656.0,192617000000.0,0.08,0.47,0.0,-0.14,0.11,0.05,0.95,3.1,17443500032.0,350998888448.0,0.51,Industrials
EA,Electronic Arts Inc.,167.64,41.91,1.6,4.0,7473999872.0,26.22,6.75,1.83,1526000000.0,42520248320.0,7966000000.0,0.19,0.47,0.0,-0.28,0.15,0.08,0.36,6.92,1755000064.0,41944702976.0,0.01,Communication Services
HLN.L,HALEON PLC ORD GBP0.01,355.2,20.89,3.05,0.17,11018999808.0,6.84,17.68,4.62,2304000000.0,39853273088.0,26145000000.0,0.09,1.93,0.0,0.33,0.09,0.05,0.53,200.34,1922749952.0,31888046080.0,-0.01,Healthcare
CPRT,"Copart, Inc.",46.18,30.59,2.28,1.51,4590859776.0,13.41,57.36,13.41,1643667000.0,40396169216.0,8781193000.0,0.19,,0.0,0.06,0.18,0.12,0.01,5.08,873605888.0,44657942528.0,0.08,Industrials
BKR,Baker Hughes Company,43.29,14.15,5.92,3.06,27608999936.0,2.39,35.74,8.85,3544000000.0,45451649024.0,23731000000.0,0.15,2.14,0.02,0.21,0.18,0.06,0.34,2.41,1096875008.0,42678702080.0,-0.03,Energy
MSCI,MSCI Inc.,546.68,36.18,2.44,15.11,2986718976.0,14.82,39.76,9.74,1614060000.0,46605852672.0,3626820000.0,0.45,1.32,0.01,0.14,,0.19,0.0,-47.72,1117176576.0,42294005760.0,0.09,Financial Services
GWW,"W.W. Grainger, Inc.",950.13,24.11,2.13,39.4,17481000960.0,11.32,31.84,7.98,2688000000.0,47987851264.0,6017000000.0,0.45,0.96,0.01,0.03,0.52,0.2,0.67,12.39,1113874944.0,45446807552.0,0.06,Industrials
9434.T,SOFTBANK CORP.,234.4,21.6,2.07,10.85,6667242045440.0,10.41,15.0,3.96,333857000000.0,17703450443776.0,8705782000000.0,0.04,3.74,0.04,-0.11,0.16,0.04,1.52,4.13,,11176848130048.0,0.08,Communication Services
PSA,Public Storage,281.74,30.72,11.06,9.17,4758111232.0,2.78,37.47,9.24,2119492000.0,63221649408.0,15462738000.0,0.14,4.23,0.04,-0.31,0.19,0.07,1.1,9.84,2465391872.0,49432125440.0,0.02,Real Estate
MET,"MetLife, Inc.",76.27,12.84,1.05,5.94,73011003392.0,12.2,10.37,2.78,6752000000.0,61111836672.0,47591000000.0,0.14,3.08,0.03,-0.23,0.16,0.01,1.34,1.84,,50856833024.0,-0.03,Financial Services
CVNA,Carvana Co.,347.56,86.67,,4.01,16273999872.0,0.0,6.7,1.82,1573000000.0,52236300288.0,7437000000.0,0.21,,0.0,9.17,0.89,0.11,2.92,27.42,205875008.0,40646098944.0,0.42,Consumer Cyclical
4568.T,DAIICHI SANKYO COMPANY LIMITED,3550.0,22.77,7.81,155.88,1924678025216.0,2.92,80.52,17.82,136333000000.0,6197781987328.0,1724748000000.0,0.08,2.17,0.02,0.0,0.18,0.06,0.13,4.16,101858000896.0,6612478590976.0,0.09,Healthcare
KMB,Kimberly-Clark Corporation,136.16,18.65,5.97,7.3,19718000640.0,3.12,3.18,0.87,3038000000.0,51951157248.0,8512000000.0,0.36,3.69,0.04,-0.06,1.84,0.11,5.19,35.56,1951374976.0,45175164928.0,-0.02,Consumer Defensive
EXC,Exelon Corporation,45.32,17.23,2.2,2.63,23765999616.0,7.83,28.38,7.18,4997000000.0,93899620352.0,76464000000.0,0.07,3.51,0.03,-0.13,0.1,0.03,1.77,1.66,-1859124992.0,45772746752.0,0.01,Utilities
CABK,122,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,
F,Ford Motor Company,11.32,14.51,16.07,0.78,185250004992.0,0.9,35.68,8.84,5512000000.0,176874831872.0,202784000000.0,0.03,5.32,0.05,,0.07,0.01,3.55,1.0,4231875072.0,44892852224.0,0.05,Consumer Cyclical
MNST,Monster Beverage Corporation,64.69,42.56,1.98,1.52,7659164160.0,21.47,35.21,8.74,1970320000.0,61090029568.0,6718498000.0,0.29,,0.0,0.15,0.24,0.16,0.0,8.78,,63088668672.0,0.11,Consumer Defensive
VRSK,"Verisk Analytics, Inc.",265.04,41.22,3.37,6.43,2986500096.0,12.23,17.02,4.46,1323100000.0,39828856832.0,3524900000.0,0.38,0.68,0.01,-0.18,2.43,0.17,10.97,118.8,846062528.0,37030068224.0,0.08,Industrials
EOAN,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,
BAS,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,
TSCO.L,TESCO PLC ORD 6 1/3P,406.9,17.69,1.57,0.23,69916000256.0,11.29,13.97,3.7,,37562236928.0,18616000000.0,,3.33,0.0,1.2,0.14,0.04,1.26,233.72,2454749952.0,27142916096.0,0.02,Consumer Defensive
RMD,ResMed Inc.,283.9,29.88,1.89,9.5,5146327040.0,15.83,46.56,11.2,1538424000.0,41225764864.0,6219165000.0,0.25,0.86,0.01,0.3,0.26,0.14,0.14,6.97,1207891200.0,41627406336.0,0.1,Healthcare
ATCO-A.ST,Atlas Copco AB ser. A,147.4,25.63,2.78,5.75,173032996864.0,9.21,59.38,13.81,36367000000.0,728113479680.0,100648000000.0,0.36,2.05,0.02,-0.15,0.28,0.11,0.35,7.13,30392125440.0,691628802048.0,-0.08,Industrials
GRMN,Garmin Ltd.,232.38,28.65,3.45,8.11,6758245888.0,8.31,26.37,6.71,1758675000.0,41675874304.0,8125111000.0,0.22,1.57,0.02,0.33,0.21,0.11,0.02,5.51,765877504.0,44731756544.0,0.2,Technology
6702.T,FUJITSU,3504.0,30.86,,113.53,3540689092608.0,0.0,-1.02,-0.29,125194000000.0,5799761936384.0,1740965000000.0,0.07,0.86,0.01,9.18,0.12,0.05,0.1,3.3,122480246784.0,6227799572480.0,-0.1,Technology
DELL,Dell Technologies Inc.,137.61,21.57,1.02,6.38,96700997632.0,21.05,-5.56,-1.58,7004000000.0,115341475840.0,25757000000.0,0.27,1.57,0.01,-0.03,,0.05,0.0,-31.08,1893874944.0,93076930560.0,0.05,Technology
nan.TO,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,
GLEN.L,GLENCORE PLC ORD USD0.01,288.25,,13.64,-0.12,231249002496.0,0.0,13.35,3.54,,67980484608.0,76934000000.0,,2.83,0.0,,-0.08,0.01,1.29,90.7,2254500096.0,34777939968.0,0.0,Basic Materials
KVUE,Kenvue Inc.,21.34,28.45,1.02,0.75,15141000192.0,27.78,2.66,0.73,2427000000.0,49571241984.0,19340000000.0,0.13,3.81,0.04,6.24,,,0.88,4.07,,40970878976.0,-0.04,Consumer Defensive
HOLN.SW,HOLCIM N,68.1,11.99,,5.68,26226999296.0,0.0,-1.59,-0.44,,43525988352.0,40161000000.0,,4.59,0.05,10.26,0.15,0.06,0.64,2.57,4086799872.0,37524189184.0,-0.02,Basic Materials
ENGI,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,
ARES,Ares Management Corporation,188.43,110.84,,1.7,4266223104.0,0.0,-7.77,-2.22,2107080000.0,58192564224.0,15664025000.0,0.13,2.4,0.02,-0.35,0.15,0.02,1.52,13.74,1404302976.0,61537087488.0,0.54,Financial Services
SYY,Sysco Corporation,80.65,21.62,1.52,3.73,81369997312.0,14.26,53.7,12.67,3135594000.0,51960070144.0,15388000000.0,0.2,2.69,0.03,-0.13,0.98,0.09,7.81,21.05,1734875008.0,38510051328.0,0.03,Consumer Defensive
YUM,"Yum! Brands, Inc.",141.28,27.81,1.96,5.08,7907999744.0,14.21,14.66,3.87,2452000000.0,49987837952.0,3709000000.0,0.66,1.99,0.02,0.02,,0.24,0.0,-5.11,1340499968.0,39270895616.0,0.1,Consumer Cyclical
LR,39817,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,
FIS,Fidelity National Information S,71.16,284.64,0.61,0.25,10316999680.0,463.28,8.44,2.27,1666000000.0,49567461376.0,27073000000.0,0.06,2.28,0.02,,0.01,0.04,0.92,2.63,2025750016.0,37172490240.0,0.05,Technology
HIG,"The Hartford Insurance Group, I",128.16,11.65,,11.0,27441999872.0,0.0,21.87,5.64,4254000000.0,36923961344.0,21553000000.0,0.2,1.64,0.02,0.35,0.2,0.03,0.25,2.11,6151625216.0,36035006464.0,0.08,Financial Services
NUE,Nucor Corporation,138.98,24.91,,5.58,30805999616.0,0.0,-15.76,-4.65,2197172000.0,37549789184.0,27949000000.0,0.08,1.6,0.02,-0.06,0.07,0.04,0.32,1.57,-697609024.0,32069773312.0,0.05,Basic Materials
FFH.TO,FAIRFAX FINANCIAL HOLDINGS LTD.,2365.29,8.73,,271.06,37816098816.0,0.0,10.25,2.74,7025800000.0,60039954432.0,38229900000.0,0.18,0.9,0.01,0.57,0.17,0.04,0.44,2.04,3242212608.0,52961443840.0,0.2,Financial Services
STX,Seagate Technology Holdings PLC,150.45,22.22,0.88,6.77,9096999936.0,25.12,-21.99,-6.66,1834000000.0,36478857216.0,4542000000.0,0.4,1.94,0.02,-0.05,,0.15,0.0,-70.63,430375008.0,31997253632.0,0.3,Technology
4519.T,CHUGAI PHARMACEUTICAL CO,6092.0,25.33,4.1,240.5,1196214976512.0,6.18,17.09,4.48,380892000000.0,8998015205376.0,1751691000000.0,0.22,1.35,0.01,-0.13,0.21,0.16,0.0,5.05,344112365568.0,10025603956736.0,-0.08,Healthcare
MPWR,"Monolithic Power Systems, Inc.",804.29,21.04,,38.22,2543911936.0,0.0,82.74,18.22,660852000.0,37392891904.0,3402068000.0,0.19,0.78,0.01,0.33,0.66,0.12,0.01,11.32,510800512.0,38519054336.0,0.31,Technology
6701.T,NEC CORP,4626.0,35.21,,131.38,3448792940544.0,0.0,13.58,3.6,167864000000.0,6230317727744.0,2441746000000.0,0.07,0.69,0.01,,,,0.26,3.26,,6165070086144.0,,Technology
MCHP,Microchip Technology Incorporat,61.87,,,-0.01,4235800064.0,0.0,-35.47,-11.45,108900000.0,38281580544.0,12315200000.0,0.01,2.75,0.03,,-0.02,0.01,0.8,4.87,1020512512.0,33389692928.0,-0.13,Technology
2914.T,JAPAN TOBACCO INC,4777.0,43.64,0.49,109.47,3314410061824.0,88.64,35.48,8.8,519469000000.0,9274110509056.0,5593684000000.0,0.09,4.39,0.04,0.1,0.11,0.06,0.4,2.09,288630505472.0,8482997141504.0,0.09,Consumer Defensive
VICI,VICI Properties Inc.,32.9,12.61,,2.61,3926258944.0,0.0,154.99,29.67,3645821000.0,53225713664.0,43946724000.0,0.08,5.24,0.05,0.17,0.1,0.05,0.65,1.29,1107510016.0,35083575296.0,0.05,Real Estate
WKL,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,
GIVN.SW,GIVAUDAN N,3396.0,28.82,4.2,117.82,7538999808.0,6.87,10.89,2.91,,35997708288.0,8906000000.0,,2.05,0.02,0.01,0.26,0.08,1.16,7.63,774499968.0,31342362624.0,0.03,Basic Materials
ROK,"Rockwell Automation, Inc.",333.23,39.16,3.43,8.51,8061199872.0,11.42,18.1,4.73,1288200000.0,41011515392.0,6928000000.0,0.19,1.58,0.02,0.27,0.27,0.07,1.07,10.82,1203637504.0,37466382336.0,0.04,Industrials
DDOG,"Datadog, Inc.",130.91,374.03,2.58,0.35,3016056064.0,144.92,160.92,30.5,197239000.0,42672533504.0,4531768000.0,0.04,,0.0,-0.94,0.04,-0.0,0.4,14.18,823317376.0,45210161152.0,0.28,Technology
VMC,Vulcan Materials Company (Holdi,286.52,39.68,2.54,7.22,7594599936.0,15.62,33.6,8.37,1443000000.0,43043315712.0,13316600000.0,0.11,0.69,0.01,0.04,0.12,0.06,0.65,4.5,1071025024.0,37856165888.0,0.04,Basic Materials
PRU.L,PRUDENTIAL PLC ORD 5P,962.4,15.28,0.98,0.63,12256000000.0,15.59,-69.29,-27.94,,26048002048.0,21957000000.0,,1.8,0.0,1.86,0.13,0.01,0.27,145.4,3719375104.0,24660633600.0,0.23,Financial Services
PRU,"Prudential Financial, Inc.",103.3,22.75,0.66,4.54,59208998912.0,34.25,-0.71,-0.2,,51445600256.0,52364000000.0,,5.36,0.05,-0.56,0.06,0.0,1.5,1.19,-10891374592.0,36355715072.0,-0.08,Financial Services
6367.T,DAIKIN INDUSTRIES,20050.0,22.18,2.35,903.9,4715126980608.0,9.42,52.85,12.5,183827000000.0,5998392639488.0,3617786000000.0,0.05,1.69,0.01,,0.1,0.05,0.29,2.08,,5870679752704.0,,Industrials
ABX.TO,BARRICK MINING CORPORATION,32.22,17.7,,1.82,13304999936.0,0.0,7.82,2.11,5384000000.0,64364183552.0,29177000000.0,0.18,1.71,0.01,0.61,0.1,0.07,0.14,2.27,1162625024.0,55401000960.0,0.14,Basic Materials
U11.SI,UOB,35.7,10.2,1.92,3.5,13315999744.0,5.3,45.89,11.05,,38229274624.0,91765000000.0,,4.76,0.05,-0.01,0.12,0.01,0.0,1.25,,59268427776.0,0.01,Financial Services
CBK,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,
AMS,American Shared Hospital Servic,2.54,12.11,,0.21,29236000.0,0.0,60.77,14.09,1564000.0,34995000.0,48938000.0,0.03,,0.0,,0.02,0.01,0.88,0.67,-6681375.0,16396545.0,0.17,Healthcare
SIKA.SW,SIKA N,193.0,25.29,4.13,7.63,11604700160.0,6.12,27.14,6.89,,36542226432.0,12333200000.0,,1.87,0.02,-0.04,0.19,0.07,1.0,5.02,1001437504.0,30965882880.0,-0.03,Basic Materials
